url,date,thumbnail
https://www.nytimes.com/interactive/2020/06/20/nyregion/defund-police-nypd-budget.html,2020/06/20,"data:image/gif;base64,R0lGODlhCgAKAIAAAB8fHwAAACH5BAEAAAAALAAAAAAKAAoAAAIIhI+py+0PYysAOw=="
https://www.nytimes.com/interactive/2020/us/coronavirus-spread.html,2020/12/14/01/01,https://static01.nyt.com/newsgraphics/2020/04/14/coronavirus-us-reconstruct/b8ea3804cd1b44e3ac731f706c9e32f6028bc8f6/cases-swatch.png
https://www.nytimes.com/interactive/2020/06/19/us/us-coronavirus-covid-death-toll.html,2020/06/19,"data:image/gif;base64,R0lGODlhCgAKAIAAAB8fHwAAACH5BAEAAAAALAAAAAAKAAoAAAIIhI+py+0PYysAOw=="
https://www.nytimes.com/interactive/2020/06/17/climate/virus-emissions-reopening.html,2020/06/17,"data:image/gif;base64,R0lGODlhCgAKAIAAAB8fHwAAACH5BAEAAAAALAAAAAAKAAoAAAIIhI+py+0PYysAOw=="
https://www.nytimes.com/interactive/2020/06/08/us/meat-processing-plants-coronavirus.html,2020/06/08,https://static01.nyt.com/images/2020/05/31/magazine/31nebraska-05/31nebraska-05-articleLarge.jpg
https://www.nytimes.com/interactive/2020/06/01/us/coronavirus-deaths-new-york-new-jersey.html,2020/06/01,NA
https://www.nytimes.com/interactive/2020/05/27/sunday-review/coronavirus-effects.html,2020/05/27,https://static01.nyt.com/packages/flash/multimedia/ICONS/transparent.png
https://www.nytimes.com/interactive/2020/05/18/us/coronavirus-underlying-conditions.html,2020/05/18,"data:image/gif;base64,R0lGODlhCgAKAIAAAB8fHwAAACH5BAEAAAAALAAAAAAKAAoAAAIIhI+py+0PYysAOw=="
https://www.nytimes.com/interactive/2020/05/12/us/coronavirus-testing-white-house.html,2020/05/12,"data:image/gif;base64,R0lGODlhCgAKAIAAAB8fHwAAACH5BAEAAAAALAAAAAAKAAoAAAIIhI+py+0PYysAOw=="
https://www.nytimes.com/interactive/2020/world/coronavirus-maps.html,2020/11/20/01/01,https://static01.nyt.com/newsgraphics/2020/03/16/coronavirus-maps/978b5a636df1172e9b4082de206d2aec266c862f/build/maps/usa-choropleth.svg
https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,2020/11/07/01/01,https://static01.nyt.com/newsgraphics/2020/03/16/coronavirus-maps/978b5a636df1172e9b4082de206d2aec266c862f/images/orphan_usa-threeByTwoSmallAt2X.png
https://www.nytimes.com/interactive/2020/05/09/us/coronavirus-cases-nursing-homes-us.html,2020/05/09,NA
https://www.nytimes.com/interactive/2020/05/08/business/economy/april-jobs-report.html,2020/05/08,NA
https://www.nytimes.com/interactive/2020/05/08/health/coronavirus-covid-lungs-ventilators.html,2020/05/08,https://static01.nyt.com/packages/flash/multimedia/ICONS/transparent.png
https://www.nytimes.com/interactive/2020/05/07/business/small-business-loans-coronavirus.html,2020/05/07,"data:image/gif;base64,R0lGODlhCgAKAIAAAB8fHwAAACH5BAEAAAAALAAAAAAKAAoAAAIIhI+py+0PYysAOw=="
